trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-134.5502558453342,"{0: 19, 1: 0, 2: 7, 3: 4, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.95122942450071402}",20,0,-119.82944912793974,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.86070797642505781}",25,0,-80.61265021505189,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.74081822068171788}",25,2,-80.51908898029431,"{0: 16, 1: 3, 2: 1, 3: 2, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.60653065971263342}",25,3,-48.71369090360352,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.47236655274101469}",20,2,-90.84021919168595,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.34993774911115533}",25,20,9.412267957059662,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.24659696394160646}",25,11,15.545903638244361,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.16529888822158653}",25,15,-1.4913035166756274,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.10539922456186433}",20,0,6.0307018669662495,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.06392786120670757}",20,0,27.551186845668884,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.036883167401240001}",25,9,33.09644304060777,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.020241911445804384}",25,17,11.378300106134017,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.010567204383852651}",30,21,18.210218695213907,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.0052475183991813829}",20,9,18.922757065989845,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0024787521766663576}",20,7,20.71293516504821,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.0011137751478448026}",30,19,21.318583522956192,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.00047604412902226928}",25,11,25.47092223050051,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.00019354509955809388}",20,12,12.329547155107939,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 7.4851829887700557e-05}",25,17,13.525211688458935,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,3,39.24193536812975,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,30.66318774301519,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,1,51.79136580251661,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,15.21420412807453,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",35,18,27.209430381783175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,23.339700489037554,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,20,8.51443047541377,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,13,22.261938939564534,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,12,25.36331339705934,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,7,20.093960722550108,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
